- Ademuz,"40.06174,-1.286526"
- Ador,"38.91941,-0.2242898"
- Agullent,"38.82132,-0.5489346"
- Aielo de Malferit,"38.87661,-0.5921101"
- Aielo de Rugat,"38.88166,-0.3430091"
- Alaquàs,"39.45708,-0.4610681"
- Albaida,"38.83701,-0.5156197"
- Albal,"39.39709,-0.4121969"
- Albalat de la Ribera,"39.2011,-0.3863965"
- Albalat dels Sorells,"39.54219,-0.3473705"
- Albalat dels Tarongers,"39.70299,-0.3364196"
- Alberic,"39.11652,-0.5177308"
- Alborache,"39.39252,-0.7718443"
- Alboraya,"39.49935,-0.3497834"
- Albuixech,"39.54437,-0.3226356"
- Alcàntera de Xúquer,"39.06793,-0.5611053"
- Alcàsser,"39.36931,-0.4428184"
- Alcublas,"39.79716,-0.7021778"
- Alcúdia (l'),"39.19832,-0.507092"
- Alcúdia de Crespins (l'),"38.97096,-0.5911145"
- Aldaia,"39.46505,-0.4613582"
- Alfafar,"39.42323,-0.3898719"
- Alfara de Algimia,"39.76255,-0.3550662"
- Alfara del Patriarca,"39.54523,-0.3865961"
- Alfarp,"39.27692,-0.5608942"
- Alfarrasí,"38.90528,-0.4964219"
- Alfauir,"38.92825,-0.2517238"
- Algar de Palancia,"39.78162,-0.3680117"
- Algemesí,"39.19387,-0.4347581"
- Algimia de Alfara,"39.75295,-0.3615205"
- Alginet,"39.26482,-0.4673142"
- Almàssera,"39.51298,-0.3551791"
- Almiserà,"38.91521,-0.2857652"
- Almoines,"38.94316,-0.1798222"
- Almussafes,"39.29333,-0.4107316"
- Alpuente,"39.87553,-1.013698"
- Alqueria de la Comtessa (l'),"38.93595,-0.1537111"
- Alzira,"39.15159,-0.4404637"
- Andilla,"39.83567,-0.813692"
- Anna,"39.02021,-0.6453875"
- Antella,"39.07915,-0.5926116"
- Aras de los Olmos,"39.92415,-1.133347"
- Atzeneta d'Albaida,"38.83666,-0.4960669"
- Ayora,"39.05817,-1.057897"
- Barx,"39.01262,-0.3010528"
- Barxeta,"39.02132,-0.4157147"
- Bèlgida,"38.86024,-0.4751653"
- Bellreguard,"38.94565,-0.1641707"
- Bellús,"38.94529,-0.4873113"
- Benagéber,"39.70691,-1.100758"
- Benaguasil,"39.59147,-0.5890565"
- Benavites,"39.74054,-0.2573594"
- Beneixida,"39.05722,-0.5489059"
- Benetússer,"39.42465,-0.3974029"
- Beniarjó,"38.93229,-0.1874941"
- Beniatjar,"38.84798,-0.41688"
- Benicolet,"38.9191,-0.3469744"
- Benicull de Xúquer,"39.18639,-0.3858408"
- Benifaió,"39.28524,-0.4270781"
- Benifairó de la Valldigna,"39.05379,-0.3022293"
- Benifairó de les Valls,"39.7267,-0.2698895"
- Beniflá,"38.92797,-0.1886494"
- Benigánim,"38.94381,-0.4439618"
- Benimodo,"39.21346,-0.52738"
- Benimuslem,"39.13147,-0.4928766"
- Beniparrell,"39.38113,-0.4126262"
- Benirredrà,"38.9611,-0.1935661"
- Benisanó,"39.61292,-0.5767823"
- Benissoda,"38.8327,-0.5308933"
- Benisuera,"38.91311,-0.4780543"
- Bétera,"39.58848,-0.4588638"
- Bicorp,"39.13191,-0.78779"
- Bocairent,"38.76781,-0.6086135"
- Bolbaite,"39.06267,-0.6746119"
- Bonrepòs i Mirambell,"39.51847,-0.3648613"
- Bufali,"38.86781,-0.5142651"
- Bugarra,"39.60923,-0.7733291"
- Buñol,"39.41825,-0.7907688"
- Burjassot,"39.51051,-0.4149856"
- Calles,"39.7253,-0.9739533"
- Camporrobles,"39.64718,-1.396582"
- Canals,"38.96075,-0.5842204"
- Canet d'En Berenguer,"39.67979,-0.2209121"
- Carcaixent,"39.12122,-0.4496824"
- Càrcer,"39.0689,-0.5652466"
- Carlet,"39.22771,-0.5231268"
- Carrícola,"38.84059,-0.4716639"
- Casas Altas,"40.03962,-1.263725"
- Casas Bajas,"40.02377,-1.259783"
- Casinos,"39.70164,-0.7095079"
- Castelló de Rugat,"38.87589,-0.3830694"
- Castellonet de la Conquesta,"38.91521,-0.2634233"
- Castielfabib,"40.131,-1.303953"
- Catadau,"39.27526,-0.5696288"
- Catarroja,"39.40274,-0.4035184"
- Caudete de las Fuentes,"39.56,-1.27799"
- Cerdà,"38.98569,-0.5741573"
- Chella,"39.04458,-0.6614693"
